40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
19:41:58.0 (80048)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-07:00
19:41:58.0 (127684)|EXECUTION_STARTED
19:41:58.0 (132424)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
19:41:58.0 (15053853)|CODE_UNIT_STARTED|[EXTERNAL]|01p2800000FELrp|RecentlyViewedRecords.getRecentlyViewed
19:41:58.0 (15178377)|HEAP_ALLOCATE|[72]|Bytes:3
19:41:58.0 (15209625)|HEAP_ALLOCATE|[77]|Bytes:152
19:41:58.0 (15223694)|HEAP_ALLOCATE|[342]|Bytes:408
19:41:58.0 (15237246)|HEAP_ALLOCATE|[355]|Bytes:408
19:41:58.0 (15249799)|HEAP_ALLOCATE|[467]|Bytes:48
19:41:58.0 (15270420)|HEAP_ALLOCATE|[139]|Bytes:6
19:41:58.0 (15293359)|VARIABLE_SCOPE_BEGIN|[2]|RecentlyViewedRecords.FIELDSET_NAME|String|false|true
19:41:58.0 (15304974)|VARIABLE_SCOPE_BEGIN|[3]|RecentlyViewedRecords.private_apiFieldNames|Map<String,Set<String>>|true|true
19:41:58.0 (15313361)|VARIABLE_SCOPE_BEGIN|[5]|RecentlyViewedRecords.rvi|Recently_Viewed__c|true|true
19:41:58.0 (15320502)|VARIABLE_SCOPE_BEGIN|[4]|RecentlyViewedRecords.schemaMap|Map<String,Schema.SObjectType>|true|true
19:41:58.0 (15370545)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
19:41:58.0 (15376666)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
19:41:58.0 (15380060)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
19:41:58.0 (15487115)|METHOD_ENTRY|[1]|01p2800000FELrp|RecentlyViewedRecords.RecentlyViewedRecords()
19:41:58.0 (15498361)|STATEMENT_EXECUTE|[1]
19:41:58.0 (15504207)|STATEMENT_EXECUTE|[1]
19:41:58.0 (15505863)|STATEMENT_EXECUTE|[2]
19:41:58.0 (15510757)|HEAP_ALLOCATE|[2]|Bytes:19
19:41:58.0 (15536527)|VARIABLE_ASSIGNMENT|[2]|RecentlyViewedRecords.FIELDSET_NAME|"RecentlyViewedHover"
19:41:58.0 (15542203)|STATEMENT_EXECUTE|[3]
19:41:58.0 (15546959)|HEAP_ALLOCATE|[3]|Bytes:4
19:41:58.0 (15573486)|VARIABLE_ASSIGNMENT|[3]|RecentlyViewedRecords.private_apiFieldNames|{}|0x14f27c85
19:41:58.0 (15578873)|STATEMENT_EXECUTE|[4]
19:41:58.0 (15607873)|HEAP_ALLOCATE|[50]|Bytes:5
19:41:58.0 (15627522)|HEAP_ALLOCATE|[56]|Bytes:5
19:41:58.0 (15634448)|HEAP_ALLOCATE|[64]|Bytes:7
19:41:58.0 (30708474)|HEAP_ALLOCATE|[4]|Bytes:1456
