40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
19:29:24.0 (76536)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-07:00
19:29:24.0 (126324)|EXECUTION_STARTED
19:29:24.0 (131595)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
19:29:24.0 (37322135)|CODE_UNIT_STARTED|[EXTERNAL]|01p2800000FELrp|RecentlyViewedRecords.getRecentlyViewed
19:29:24.0 (37536477)|HEAP_ALLOCATE|[72]|Bytes:3
19:29:24.0 (37611101)|HEAP_ALLOCATE|[77]|Bytes:152
19:29:24.0 (37634568)|HEAP_ALLOCATE|[342]|Bytes:408
19:29:24.0 (37660800)|HEAP_ALLOCATE|[355]|Bytes:408
19:29:24.0 (37684298)|HEAP_ALLOCATE|[467]|Bytes:48
19:29:24.0 (37757167)|HEAP_ALLOCATE|[139]|Bytes:6
19:29:24.0 (37795414)|VARIABLE_SCOPE_BEGIN|[2]|RecentlyViewedRecords.FIELDSET_NAME|String|false|true
19:29:24.0 (38101275)|VARIABLE_SCOPE_BEGIN|[3]|RecentlyViewedRecords.private_apiFieldNames|Map<String,Set<String>>|true|true
19:29:24.0 (38114391)|VARIABLE_SCOPE_BEGIN|[5]|RecentlyViewedRecords.rvi|Recently_Viewed__c|true|true
19:29:24.0 (38128624)|VARIABLE_SCOPE_BEGIN|[4]|RecentlyViewedRecords.schemaMap|Map<String,Schema.SObjectType>|true|true
19:29:24.0 (38206001)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
19:29:24.0 (38236306)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
19:29:24.0 (38241770)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
19:29:24.0 (38401179)|METHOD_ENTRY|[1]|01p2800000FELrp|RecentlyViewedRecords.RecentlyViewedRecords()
19:29:24.0 (38411852)|STATEMENT_EXECUTE|[1]
19:29:24.0 (38418366)|STATEMENT_EXECUTE|[1]
19:29:24.0 (38420020)|STATEMENT_EXECUTE|[2]
19:29:24.0 (38433011)|HEAP_ALLOCATE|[2]|Bytes:19
19:29:24.0 (38467257)|VARIABLE_ASSIGNMENT|[2]|RecentlyViewedRecords.FIELDSET_NAME|"RecentlyViewedHover"
19:29:24.0 (38474879)|STATEMENT_EXECUTE|[3]
19:29:24.0 (38480625)|HEAP_ALLOCATE|[3]|Bytes:4
19:29:24.0 (38519534)|VARIABLE_ASSIGNMENT|[3]|RecentlyViewedRecords.private_apiFieldNames|{}|0x4128f4d2
19:29:24.0 (38528350)|STATEMENT_EXECUTE|[4]
19:29:24.0 (38576740)|HEAP_ALLOCATE|[50]|Bytes:5
19:29:24.0 (38603650)|HEAP_ALLOCATE|[56]|Bytes:5
19:29:24.0 (38616212)|HEAP_ALLOCATE|[64]|Bytes:7
19:29:24.0 (76929629)|HEAP_ALLOCATE|[4]|Bytes:1456
19:29:24.0 (77266899)|VARIABLE_ASSIGNMENT|[4]|RecentlyViewedRecords.schemaMap|"{acceptedeventrelation=AcceptedEventRelation, acchierarchy__account_hierarchy__mdt=accHierarchy__Account_Hierarchy__mdt, acchierarchy__account_hierarchy_setup__c=accHierarchy__Account_Hierarchy_Setup__c, account=Account, accountcleaninfo=AccountCleanInfo, accountcontactrole=AccountContactRole, accountfeed=AccountFeed, accounthistory=AccountHistory, accountpartner=AccountPartner, accountshare=AccountShare, ...}"|0x485778f0
19:29:24.0 (77286842)|STATEMENT_EXECUTE|[5]
19:29:24.0 (78230139)|HEAP_ALLOCATE|[5]|Bytes:20
19:29:24.0 (78287644)|VARIABLE_ASSIGNMENT|[5]|RecentlyViewedRecords.rvi|{"IsDeleted":false,"Name":"a0d28000002ZKNz","SetupOwnerId":"00528000001JBjQAAW","Records_to_Display__ (1 more) ...":"20"}|0x58e75f30
19:29:24.0 (78298324)|STATEMENT_EXECUTE|[147]
19:29:24.0 (78299922)|STATEMENT_EXECUTE|[167]
19:29:24.0 (78326741)|METHOD_EXIT|[1]|RecentlyViewedRecords
19:29:24.0 (78337592)|SYSTEM_MODE_ENTER|false
19:29:24.0 (78347925)|STATEMENT_EXECUTE|[8]
19:29:24.0 (78349247)|STATEMENT_EXECUTE|[9]
19:29:24.0 (78474723)|HEAP_ALLOCATE|[9]|Bytes:4
19:29:24.0 (78589227)|VARIABLE_SCOPE_BEGIN|[9]|rvList|List<RecentlyViewedRecords.RecentlyViewedWrapper>|true|false
19:29:24.0 (78619133)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:29:24.0 (78633094)|VARIABLE_ASSIGNMENT|[9]|rvList|[]|0x5eefbe9a
19:29:24.0 (78639751)|STATEMENT_EXECUTE|[10]
19:29:24.0 (78643744)|HEAP_ALLOCATE|[10]|Bytes:87
19:29:24.0 (78694784)|HEAP_ALLOCATE|[10]|Bytes:89
19:29:24.0 (78702628)|VARIABLE_SCOPE_BEGIN|[10]|query|String|false|false
19:29:24.0 (78714334)|VARIABLE_ASSIGNMENT|[10]|query|"Select Id,Name,Type  (69 more) ..."
19:29:24.0 (78970740)|SOQL_EXECUTE_BEGIN|[11]|Aggregations:0|Select Id,Name,Type from RecentlyViewed 
19:29:24.0 (85757839)|SOQL_EXECUTE_END|[11]|Rows:20
19:29:24.0 (85782225)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:84
19:29:24.0 (85974380)|HEAP_ALLOCATE|[11]|Bytes:49
19:29:24.0 (85986493)|HEAP_ALLOCATE|[11]|Bytes:8
